ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.56,37,0.084,,0.291,,rg27dj,0.768
0.56,37,0.084,,0.291,,rg27hg,0.768
0.242,2,0.006,,0.408,,rg27du,0.758
0.524,33,0.053,,0.082,,rg27hj,0.768
0.442,1,0.006,,0.296,,rg27he,0.814
0.226,36,0.079,,0.081,,rg27eu,0.585
0.163,4,0.01,,0.412,,rg27el,0.72
0.106,,,,0.318,,rg27eh,0.774
0.524,33,0.053,,0.082,,rg27hf,0.768
0.109,7,0.025,,0.315,,rg27hr,0.697
0.56,37,0.084,,0.291,,rg27df,0.768
0.56,37,0.084,,0.291,,rg27da,0.768
0.394,8,0.026,,0.4,,rg27hp,0.799
0.148,5,0.014,,0.395,,rg27hw,0.532
0.106,,,,0.318,,rg27dy,0.774
0.394,8,0.026,,0.4,,rg27ht,0.799
0.109,7,0.025,,0.315,,rg27hx,0.697
0.226,36,0.079,,0.081,,rg27ez,0.585
0.394,8,0.026,,0.4,,rg27hn,0.799
0.056,6,0.017,,0.335,,rg27jb,0.743
0.56,37,0.084,,0.291,,rg27hq,0.768
0.25,6,0.017,,0.339,,rg27jf,0.66
0.394,8,0.026,,0.4,,rg27jh,0.799
0.109,7,0.025,,0.315,,rg27hu,0.697
0.394,8,0.026,,0.4,,rg27jl,0.799
0.524,33,0.053,,0.082,,rg27hl,0.768
0.25,6,0.017,,0.339,,rg27jp,0.66
0.56,37,0.084,,0.291,,rg27je,0.768
0.394,8,0.026,,0.4,,rg27hh,0.799
0.154,3,0.009,,0.343,,rg27js,0.738
0.394,8,0.026,,0.4,,rg27jj,0.799
0.148,5,0.014,,0.395,,rg27hy,0.532
0.524,33,0.053,,0.082,,rg27jd,0.768
0.302,4,0.015,,0.463,,rg27ju,0.814
0.103,3,0.008,,0.319,,rg27jw,0.689
0.163,4,0.01,,0.412,,rg27ew,0.72
0.056,6,0.017,,0.335,,rg27la,0.743
0.524,33,0.053,,0.082,,rg27hb,0.768
0.25,6,0.017,,0.339,,rg27ja,0.66
0.087,,,,0.357,,rg27le,0.657
0.56,37,0.084,,0.291,,rg27dd,0.768
0.109,7,0.025,,0.315,,rg27lg,0.697
0.056,6,0.017,,0.335,,rg27lh,0.743
0.056,6,0.017,,0.335,,rg27ll,0.743
0.394,8,0.026,,0.4,,rg27jn,0.799
0.394,8,0.026,,0.4,,rg27lp,0.799
0.25,6,0.017,,0.339,,rg27jr,0.66
0.25,6,0.017,,0.339,,rg27lr,0.66
0.056,6,0.017,,0.335,,rg27lj,0.743
0.103,3,0.008,,0.319,,rg27jg,0.689
0.08,2,0.007,,0.283,,rg27lu,0.769
0.25,6,0.017,,0.339,,rg27jq,0.66
0.087,,,,0.357,,rg27hz,0.657
0.14,10,0.023,,0.339,,rg27nb,0.702
0.242,2,0.006,,0.408,,rg27na,0.758
0.14,10,0.023,,0.339,,rg27ne,0.702
0.14,10,0.023,,0.339,,rg27nf,0.702
0.25,6,0.017,,0.339,,rg27ng,0.66
0.302,4,0.015,,0.463,,rg27nj,0.814
0.08,2,0.007,,0.283,,rg27nl,0.769
0.14,10,0.023,,0.339,,rg27ly,0.702
0.136,1,0.003,,0.399,,rg27nr,0.752
0.087,,,,0.357,,rg27lb,0.657
0.136,1,0.003,,0.399,,rg27nt,0.752
0.136,1,0.003,,0.399,,rg27nu,0.752
0.08,2,0.007,,0.283,,rg27lz,0.769
0.154,3,0.009,,0.343,,rg27nx,0.738
0.302,4,0.015,,0.463,,rg27jt,0.814
0.113,,,,0.39,,rg27ny,0.737
0.08,2,0.007,,0.283,,rg27np,0.769
0.14,10,0.023,,0.339,,rg27nd,0.702
0.087,,,,0.357,,rg27ld,0.657
0.154,3,0.009,,0.343,,rg27jx,0.738
0.113,,,,0.39,,rg27pe,0.737
