,ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
286,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xr,0.44799999999999995
287,0.433,3.0,0.012,,0.544,,rg1 1xz,0.644
288,0.433,3.0,0.012,,0.544,,rg1 1xj,0.644
289,0.255,4.0,0.017,,0.5489999999999999,,rg1 1ty,0.545
290,0.588,10.0,0.04,,0.629,,rg1 1xn,0.40700000000000003
291,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ya,0.752
292,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xs,0.44799999999999995
293,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xq,0.44799999999999995
294,0.588,10.0,0.04,,0.629,,rg1 2ad,0.40700000000000003
295,0.588,10.0,0.04,,0.629,,rg1 2aa,0.40700000000000003
296,0.514,5.0,0.013999999999999999,,0.385,,rg1 1ye,0.752
297,0.588,10.0,0.04,,0.629,,rg1 2af,0.40700000000000003
298,0.588,10.0,0.04,,0.629,,rg1 2ab,0.40700000000000003
299,0.588,10.0,0.04,,0.629,,rg1 1ud,0.40700000000000003
300,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xl,0.44799999999999995
301,0.588,10.0,0.04,,0.629,,rg1 2al,0.40700000000000003
302,0.467,5.0,0.022000000000000002,,0.645,,rg1 2ag,0.451
303,0.588,10.0,0.04,,0.629,,rg1 2ap,0.40700000000000003
304,0.588,10.0,0.04,,0.629,,rg1 2an,0.40700000000000003
305,0.444,24.0,0.042,,0.52,,rg1 2ar,0.609
306,0.588,10.0,0.04,,0.629,,rg1 1tq,0.40700000000000003
307,0.514,5.0,0.013999999999999999,,0.385,,rg1 1sl,0.752
308,0.588,10.0,0.04,,0.629,,rg1 2aj,0.40700000000000003
309,0.588,10.0,0.04,,0.629,,rg1 2au,0.40700000000000003
310,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xp,0.44799999999999995
311,0.588,10.0,0.04,,0.629,,rg1 2az,0.40700000000000003
312,0.588,10.0,0.04,,0.629,,rg1 2aw,0.40700000000000003
313,0.433,3.0,0.012,,0.544,,rg1 1xw,0.644
314,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1uj,0.44799999999999995
315,0.467,5.0,0.022000000000000002,,0.645,,rg1 2at,0.451
316,0.588,10.0,0.04,,0.629,,rg1 2ba,0.40700000000000003
317,0.433,3.0,0.012,,0.544,,rg1 2bf,0.644
318,0.588,10.0,0.04,,0.629,,rg1 2bh,0.40700000000000003
319,0.588,10.0,0.04,,0.629,,rg1 2ae,0.40700000000000003
320,0.588,10.0,0.04,,0.629,,rg1 2bj,0.40700000000000003
321,0.301,3.0,0.009000000000000001,,0.491,,rg1 2bl,0.645
322,0.514,5.0,0.013999999999999999,,0.385,,rg1 1zs,0.752
323,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xt,0.44799999999999995
324,0.467,5.0,0.022000000000000002,,0.645,,rg1 2ah,0.451
325,0.588,10.0,0.04,,0.629,,rg1 2bt,0.40700000000000003
326,0.581,6.0,0.027999999999999997,,0.7020000000000001,,rg1 1xb,0.44799999999999995
327,0.588,10.0,0.04,,0.629,,rg1 2bw,0.40700000000000003
328,0.588,10.0,0.04,,0.629,,rg1 2bu,0.40700000000000003
329,0.588,10.0,0.04,,0.629,,rg1 2bp,0.40700000000000003
330,0.374,,,,0.767,,rg1 1zq,0.7090000000000001
331,0.433,3.0,0.012,,0.544,,rg1 2dd,0.644
332,0.467,5.0,0.022000000000000002,,0.645,,rg1 2aq,0.451
333,0.588,10.0,0.04,,0.629,,rg1 2ax,0.40700000000000003
334,0.588,10.0,0.04,,0.629,,rg1 2dh,0.40700000000000003
335,0.588,10.0,0.04,,0.629,,rg1 2be,0.40700000000000003
336,0.588,10.0,0.04,,0.629,,rg1 2dl,0.40700000000000003
337,0.306,4.0,0.012,,0.44299999999999995,,rg1 2bx,0.607
338,0.588,10.0,0.04,,0.629,,rg1 2dq,0.40700000000000003
339,0.514,5.0,0.013999999999999999,,0.385,,rg1 2dj,0.752
340,0.588,10.0,0.04,,0.629,,rg1 2dt,0.40700000000000003
341,0.588,10.0,0.04,,0.629,,rg1 2de,0.40700000000000003
342,0.588,10.0,0.04,,0.629,,rg1 2ds,0.40700000000000003
343,0.588,10.0,0.04,,0.629,,rg1 2dp,0.40700000000000003
344,0.588,10.0,0.04,,0.629,,rg1 2bn,0.40700000000000003
345,0.588,10.0,0.04,,0.629,,rg1 2ea,0.40700000000000003
346,0.43700000000000006,3.0,0.011000000000000001,,0.621,,rg1 2bg,0.684
347,0.588,10.0,0.04,,0.629,,rg1 2bs,0.40700000000000003
348,0.514,5.0,0.013999999999999999,,0.385,,rg1 2dg,0.752
349,0.588,10.0,0.04,,0.629,,rg1 2dn,0.40700000000000003
350,0.588,10.0,0.04,,0.629,,rg1 2ej,0.40700000000000003
351,0.588,10.0,0.04,,0.629,,rg1 2ay,0.40700000000000003
352,0.588,10.0,0.04,,0.629,,rg1 2el,0.40700000000000003
