ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.396,32,0.004,,0.414,,sg3,0.948
0.159,43,0.002,,0.437,,tf4,0.957
0.14,594,0.011,,0.328,,ne6,0.914
0.17,73,0.001,,0.385,,s66,0.979
0.141,89,0.002,,0.381,,s43,0.975
0.214,47,0.002,,0.408,,hd6,0.962
0.153,316,0.011,,0.325,,pl1,0.918
0.411,247,0.082,,0.43,,w1f,0.705
0.189,134,0.004,,0.38,,l45,0.973
0.418,212,0.005,,0.393,,sk9,0.931
0.151,470,0.004,,0.401,,de2,0.894
0.278,1462,0.065,,0.3,,l3,0.797
0.288,162,0.005,,0.393,,sy3,0.966
0.326,7,0.001,,0.365,,gl8,0.979
0.391,6,0.001,,0.37,,rh3,0.978
0.067,216,0.003,,0.312,,s5,0.788
0.238,19,0.002,,0.422,,ip8,0.966
0.346,187,0.012,,0.368,,yo5,0.973
0.153,47,0.005,,0.504,,ze1,0.976
0.13,63,0.003,,0.387,,m46,0.967
0.117,1186,0.023,,0.281,,s2,0.769
0.118,444,0.009,,0.294,,e13,0.29
0.285,554,0.011,,0.454,,ha4,0.794
0.229,408,0.015,,0.382,,ex1,0.931
0.116,2266,0.07,,0.153,,m13,0.367
0.374,126,0.009,,0.406,,al8,0.913
0.38,499,0.016,,0.428,,sm2,0.767
0.099,134,0.011,,0.337,,g40,0.923
0.284,53,0.004,,0.42,,wd5,0.918
0.208,17,0.001,,0.389,,sp8,0.985
0.127,135,0.004,,0.35,,fy3,0.96
0.185,243,0.008,,0.437,,m32,0.777
0.266,191,0.005,,0.41,,hp3,0.874
0.178,139,0.01,,0.309,,ex7,0.97
0.111,4,0.0,,0.362,,ka5,0.992
0.171,228,0.007,,0.41,,rm7,0.809
0.343,148,0.034,,0.38,,l2,0.832
0.114,60,0.002,,0.387,,b65,0.879
0.341,745,0.033,,0.4,,g11,0.9
0.563,354,0.015,,0.478,,tw9,0.85
0.237,121,0.011,,0.384,,ls5,0.849
0.181,229,0.007,,0.337,,hd2,0.597
0.29,55,0.031,,0.348,,n1c,0.536
0.215,285,0.009,,0.476,,nn1,0.781
0.232,32,0.002,,0.384,,dl6,0.978
0.105,154,0.009,,0.245,,s4,0.414
0.101,46,0.002,,0.368,,s62,0.971
0.268,178,0.004,,0.416,,bl8,0.948
0.311,43,0.002,,0.378,,hg5,0.98
0.185,174,0.005,,0.4,,ln5,0.963
0.116,69,0.002,,0.382,,dh9,0.989
0.147,92,0.003,,0.404,,ky2,0.97
0.221,227,0.007,,0.399,,me1,0.877
0.182,81,0.002,,0.41,,b43,0.762
0.249,67,0.002,,0.514,,sp4,0.955
0.157,82,0.004,,0.393,,wf7,0.978
0.375,50,0.002,,0.395,,wa6,0.982
0.116,163,0.003,,0.337,,fy4,0.973
0.259,95,0.003,,0.349,,ka7,0.985
0.272,,,,0.416,,ch4,
0.228,254,0.011,,0.354,,ig7,0.715
0.118,66,0.003,,0.404,,ky6,0.979
0.328,7,0.002,,0.364,,l38,0.986
0.118,113,0.004,,0.314,,dn7,0.954
0.258,,,,0.352,,td3,0.992
0.251,162,0.004,,0.401,,po7,0.966
0.345,115,0.005,,0.37,,sm7,0.911
0.217,323,0.009,,0.359,,l25,0.948
0.362,124,0.006,,0.367,,rh5,0.963
0.162,107,0.004,,0.408,,dg1,0.98
0.148,85,0.003,,0.363,,bn9,0.961
0.346,1433,0.061,,0.263,,b15,0.555
0.092,236,0.005,,0.213,,b11,0.185
0.509,67,0.006,,0.438,,kt7,0.913
0.193,57,0.003,,0.446,,iv1,0.982
0.207,,,,0.435,,l80,0.995
0.289,437,0.011,,0.497,,eh6,0.916
0.199,,,,0.304,,hr5,
0.266,178,0.005,,0.436,,bt6,0.97
0.285,305,0.01,,0.39,,w7,0.631
0.105,75,0.002,,0.417,,ml5,0.986
0.211,429,0.005,,0.434,,sl1,0.499
0.173,136,0.003,,0.349,,dt4,0.975
0.177,238,0.013,,0.388,,g14,0.895
0.063,68,0.019,,0.177,,ts2,0.863
0.41,221,0.007,,0.411,,cv8,0.945
0.29,121,0.004,,0.406,,dd5,0.971
0.121,3,0.003,,0.303,,kw3,0.995
0.469,718,0.047,,0.447,,w1a,0.674
0.422,186,0.008,,0.427,,gu7,0.955
0.099,105,0.003,,0.394,,hu8,0.976
0.108,300,0.008,,0.345,,l42,0.955
0.245,71,0.002,,0.44,,gl3,0.962
0.254,620,0.012,,0.353,,ls8,0.556
0.277,4,0.001,,0.419,,pa7,0.994
0.163,,,,0.417,,sa7,
